country;english_formal
Afghanistan;Islamic Republic of Afghanistan
Albania;Republic of Albania
Algeria;People's Democratic Republic of Algeria
Andorra;Principality of Andorra
Angola;Republic of Angola
Antigua and Barbuda;Antigua and Barbuda
Argentina;Argentine Republic
Armenia;Republic of Armenia
Australia;Australia
Austria;Republic of Austria
Azerbaijan;Republic of Azerbaijan
Bahamas;Commonwealth of the Bahamas
Bahrain;Kingdom of Bahrain
Bangladesh;People's Republic of Bangladesh
Barbados;Barbados
Belarus;Republic of Belarus
Belgium;Kingdom of Belgium
Belize;Belize
Benin;Republic of Benin
Bhutan;Kingdom of Bhutan
Bolivia (Plurinational State of);Plurinational State of Bolivia
Bosnia and Herzegovina;Bosnia and Herzegovina
Botswana;Republic of Botswana
Brazil;Federative Republic of Brazil
Brunei Darussalam;Brunei Darussalam
Bulgaria;Republic of Bulgaria
Burkina Faso;Burkina Faso
Burundi;Republic of Burundi
Cabo Verde;Republic of Cabo Verde
Cambodia;Kingdom of Cambodia
Cameroon;Republic of Cameroon
Canada;Canada
Central African Republic;Central African Republic
Chad;Republic of Chad
Chile;Republic of Chile
China;People's Republic of China
Colombia;Republic of Colombia
Comoros;Union of the Comoros
Congo;Republic of the Congo
Costa Rica;Republic of Costa Rica
Croatia;Republic of Croatia
Cuba;Republic of Cuba
Cyprus;Republic of Cyprus
Czechia;Czech Republic
Democratic Republic of the Congo;Democratic Republic of the Congo
Denmark;Kingdom of Denmark
Djibouti;Republic of Djibouti
Dominica;Commonwealth of Dominica
Dominican Republic;Dominican Republic
Timor-Leste;Democratic Republic of Timor-Leste
Ecuador;Republic of Ecuador
Egypt;Arab Republic of Egypt
El Salvador;Republic of El Salvador
Equatorial Guinea;Republic of Equatorial Guinea
Eritrea;State of Eritrea
Estonia;Republic of Estonia
Ethiopia;Federal Democratic Republic of Ethiopia
Micronesia (Federated States of);Federated States of Micronesia
Fiji;Republic of Fiji
Finland;Republic of Finland
France;French Republic
Gabon;Gabonese Republic
Gambia;Republic of the Gambia
Georgia;Georgia
Germany;Federal Republic of Germany
Ghana;Republic of Ghana
Greece;Hellenic Republic
Greenland;Greenland
Grenada;Grenada
Guatemala;Republic of Guatemala
Guinea;Republic of Guinea
Guinea-Bissau;Republic of Guinea-Bissau
Guyana;Republic of Guyana
Haiti;Republic of Haiti
Honduras;Republic of Honduras
Hungary;Hungary
Iceland;Republic of Iceland
India;Republic of India
Indonesia;Republic of Indonesia
Iran (Islamic Republic of);Islamic Republic of Iran
Iraq;Republic of Iraq
Ireland;Ireland
Israel;State of Israel
Italy;Republic of Italy
Côte d'Ivoire;Republic of Côte d'Ivoire
Jamaica;Jamaica
Japan;Japan
Jordan;Hashemite Kingdom of Jordan
Kazakhstan;Republic of Kazakhstan
Kenya;Republic of Kenya
Kiribati;Republic of Kiribati
Kuwait;State of Kuwait
Kyrgyzstan;Kyrgyz Republic
Lao People's Democratic Republic;Lao People's Democratic Republic
Latvia;Republic of Latvia
Lebanon;Lebanese Republic
Lesotho;Kingdom of Lesotho
Liberia;Republic of Liberia
Libya;State of Libya
Liechtenstein;Principality of Liechtenstein
Lithuania;Republic of Lithuania
Luxembourg;Grand Duchy of Luxembourg
Madagascar;Republic of Madagascar
Malawi;Republic of Malawi
Malaysia;Malaysia
Maldives;Republic of Maldives
Mali;Republic of Mali
Malta;Republic of Malta
Marshall Islands;Republic of the Marshall Islands
Mauritania;Islamic Republic of Mauritania
Mauritius;Republic of Mauritius
Mexico;United Mexican States
Republic of Moldova;Republic of Moldova
Monaco;Principality of Monaco
Mongolia;Mongolia
Montenegro;Montenegro
Morocco;Kingdom of Morocco
Mozambique;Republic of Mozambique
Myanmar;Republic of the Union of Myanmar
Namibia;Republic of Namibia
Nauru;Republic of Nauru
Nepal;Federal Democratic Republic of Nepal
Netherlands;Kingdom of the Netherlands
New Zealand;New Zealand
Nicaragua;Republic of Nicaragua
Niger;Republic of the Niger
Nigeria;Federal Republic of Nigeria
Democratic People's Republic of Korea;Democratic People's Republic of Korea
North Macedonia;North Macedonia
Norway;Kingdom of Norway
Oman;Sultanate of Oman
Pakistan;Islamic Republic of Pakistan
Palau;Republic of Palau
Palestine;Palestine
Panama;Republic of Panama
Papua New Guinea;Independent State of Papua New Guinea
Paraguay;Republic of Paraguay
Peru;Republic of Peru
Philippines;Republic of the Philippines
Poland;Republic of Poland
Portugal;Portuguese Republic
Qatar;State of Qatar
Romania;Romania
Russian Federation;Russian Federation
Rwanda;Republic of Rwanda
Saint Kitts and Nevis;Saint Kitts and Nevis
Saint Lucia;Saint Lucia
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines
Samoa;Independent State of Samoa
San Marino;Republic of San Marino
Sao Tome and Principe;Democratic Republic of Sao Tome and Principe
Saudi Arabia;Kingdom of Saudi Arabia
Senegal;Republic of Senegal
Serbia;Republic of Serbia
Seychelles;Republic of Seychelles
Sierra Leone;Republic of Sierra Leone
Singapore;Republic of Singapore
Slovakia;Slovak Republic
Slovenia;Republic of Slovenia
Solomon Islands;Solomon Islands
Somalia;Federal Republic of Somalia
South Africa;Republic of South Africa
Republic of Korea;Republic of Korea
South Sudan;Republic of South Sudan
Spain;Kingdom of Spain
Sri Lanka;Democratic Socialist Republic of Sri Lanka
Sudan;Republic of Sudan
Suriname;Republic of Suriname
Sweden;Kingdom of Sweden
Switzerland;Swiss Confederation
Syrian Arab Republic;Syrian Arab Republic
Tajikistan;Republic of Tajikistan
United Republic of Tanzania;United Republic of Tanzania
Thailand;Kingdom of Thailand
Togo;Togolese Republic
Tonga;Kingdom of Tonga
Trinidad and Tobago;Republic of Trinidad and Tobago
Tunisia;Republic of Tunisia
Türkiye;Republic of Turkey
Turkmenistan;Turkmenistan
Tuvalu;Tuvalu
Uganda;Republic of Uganda
Ukraine;Ukraine
United Arab Emirates;United Arab Emirates
United Kingdom of Great Britain and Northern Ireland;United Kingdom of Great Britain and Northern Ireland
United States of America;United States of America
Uruguay;Eastern Republic of Uruguay
Uzbekistan;Republic of Uzbekistan
Vanuatu;Republic of Vanuatu
Vatican;NA
Venezuela (Bolivarian Republic of);Bolivarian Republic of Venezuela
Viet Nam;Socialist Republic of Viet Nam
Western Sahara;NA
Yemen;Republic of Yemen
Zambia;Republic of Zambia
Zimbabwe;Republic of Zimbabwe
Eswatini;Kingdom of Eswatini
